Transaction Hash,Date,Quarter,From,To,Category,Amount,Asset,Value
0xf0dc5a2bd8745c24d998c111610c8a6d297318fb79ed00053ed2055489a2a9ef,2022-11-08,2022Q4,Public Goods,gregskril.eth,PG Small Grants,1.0,ETH,1334.22
0xf0dc5a2bd8745c24d998c111610c8a6d297318fb79ed00053ed2055489a2a9ef,2022-11-08,2022Q4,Public Goods,bishara.eth,PG Small Grants,1.0,ETH,1334.22
0xf0dc5a2bd8745c24d998c111610c8a6d297318fb79ed00053ed2055489a2a9ef,2022-11-08,2022Q4,Public Goods,yeeteezy.eth,PG Small Grants,1.0,ETH,1334.22
0xf0dc5a2bd8745c24d998c111610c8a6d297318fb79ed00053ed2055489a2a9ef,2022-11-08,2022Q4,Public Goods,mhaas.eth,PG Small Grants,1.0,ETH,1334.22
0xf0dc5a2bd8745c24d998c111610c8a6d297318fb79ed00053ed2055489a2a9ef,2022-11-08,2022Q4,Public Goods,frolic.eth,PG Small Grants,1.0,ETH,1334.22
0xf0dc5a2bd8745c24d998c111610c8a6d297318fb79ed00053ed2055489a2a9ef,2022-11-08,2022Q4,Public Goods,web3domains,PG Small Grants,1.0,ETH,1334.22
0xf0dc5a2bd8745c24d998c111610c8a6d297318fb79ed00053ed2055489a2a9ef,2022-11-08,2022Q4,Public Goods,stevegachau.eth,PG Small Grants,1.0,ETH,1334.22
0xf0dc5a2bd8745c24d998c111610c8a6d297318fb79ed00053ed2055489a2a9ef,2022-11-08,2022Q4,Public Goods,Blockful,PG Small Grants,1.0,ETH,1334.22
0xf0dc5a2bd8745c24d998c111610c8a6d297318fb79ed00053ed2055489a2a9ef,2022-11-08,2022Q4,Public Goods,ensnews.eth,PG Small Grants,1.0,ETH,1334.22
0xce4d0473e0acb5c962ef506895308b527f32fd3c2b9c69a30c98d9e80f0f88c4,2022-11-08,2022Q4,Metagov,coltron.eth,Salaries,9665.0,USDC,9665.0
0xce4d0473e0acb5c962ef506895308b527f32fd3c2b9c69a30c98d9e80f0f88c4,2022-11-08,2022Q4,Metagov,slobo.eth,Salaries,7000.0,USDC,7000.0
0xce4d0473e0acb5c962ef506895308b527f32fd3c2b9c69a30c98d9e80f0f88c4,2022-11-08,2022Q4,Metagov,anthonyware.eth,Salaries,5000.0,USDC,5000.0
0xce4d0473e0acb5c962ef506895308b527f32fd3c2b9c69a30c98d9e80f0f88c4,2022-11-08,2022Q4,Metagov,bobjiang.eth,Salaries,1500.0,USDC,1500.0
0xce4d0473e0acb5c962ef506895308b527f32fd3c2b9c69a30c98d9e80f0f88c4,2022-11-08,2022Q4,Metagov,ceresstation.eth,Salaries,1500.0,USDC,1500.0
0xce4d0473e0acb5c962ef506895308b527f32fd3c2b9c69a30c98d9e80f0f88c4,2022-11-08,2022Q4,Metagov,simona.eth,Salaries,1500.0,USDC,1500.0
0x6c42487e72be92ac95d0b9bfeb9322797ccf4f63a163975d4fa96d325650f88b,2022-11-08,2022Q4,Metagov,ENS Labs,Governance,3.0,ETH,4002.66
0xa3acda7e3800481d9aeaf1f18dfb35d069606462d9e6eabd43f8e55aadeae678,2022-11-09,2022Q4,Ecosystem,logicbeach.eth,Eco. Small Grants,1.0,ETH,1104.17
0x58601fa2beff8e634f05c347f1b3eae8bb6389e117063b918185f0d83ac09ca3,2022-11-09,2022Q4,Ecosystem,unvetica.eth,Eco. Small Grants,1.0,ETH,1104.17
0x2e21076adb62acead1a25436c1696347fc65fe0ead4985277c256af9a0b29cca,2022-11-09,2022Q4,Ecosystem,5pence.eth,$ENS Distribution,500.0,ENS,5207.88
0x7aeb4458d00cf90579042c4b77092387a6c2bde79e9baa6982f304de7ca41729,2022-11-10,2022Q4,DAO Wallet,ENS Labs,ENS Labs,1347555.527664,USDC,1347555.527664
0x2e70a635a9b3028c2c4eb807f009beb135245e1c5e1f1e4ef00c57b5c555832a,2022-11-11,2022Q4,Ecosystem,coltron.eth,Hackathons,1250.0,USDC,1250.0
0xd7832e3c8bfcdd7bfe8d834ea1408afeef73b49a767a18dfb77029151d5b0fc3,2022-11-11,2022Q4,Ecosystem,generalmagic.eth,Merch,12500.0,USDC,12500.0
0x476679b9750d4028b4877935b9618e35321129c567fa09b1704d756c7bfdc130,2022-11-11,2022Q4,Ecosystem,planetable.eth,Websites,10000.0,USDC,10000.0
0x4a7aa579742949845d630be3c69f4bfb661af2b2bb082ef8a237144542917c2c,2022-11-15,2022Q4,Ecosystem,oddfather.eth,Translators,496.0,USDC,496.0
0x9afbdca40474a3710be76504e489e624c73a35022ee89a13c54059e50eed81f2,2022-11-15,2022Q4,Ecosystem,fabioanaya.eth,Translators,493.0,USDC,493.0
0x656cc4c80219a1a6a4114930462a848a63074244d54a87b17e7c425bb038e8c8,2022-11-17,2022Q4,Ecosystem,ETHGlobal,Hackathons,90000.0,USDC,90000.0
0x18dd5024ea1e0204d31e07b8ffcda22f4d7d1e19aff94c8ce183da546520287a,2022-11-17,2022Q4,Ecosystem,0x219797,Hackathons,5000.0,USDC,5000.0
0x18dd5024ea1e0204d31e07b8ffcda22f4d7d1e19aff94c8ce183da546520287a,2022-11-17,2022Q4,Ecosystem,cryptoplaza.eth,Hackathons,3000.0,USDC,3000.0
0xf35632f58a94d03dee7edbad0d902f583cceb4184c2ec14eed64bb8432786d6c,2022-11-22,2022Q4,Ecosystem,wlfrm.eth,Builders,4000.0,USDC,4000.0
0x474481054f8ac990634533bbaffdbb7e8b77c3432043a98d22d3a3faac7c4bdf,2022-11-28,2022Q4,Ecosystem,hellenstans.eth,Builders,1.0,ETH,1167.3
0x4f99c905d2104e481aec0fe6eadbda17aa6775754d9fea1370e29321bde6628c,2022-11-28,2022Q4,Metagov,mmurthy.eth,DAO Tooling,10000.0,USDC,10000.0
0x790b8330dead908ba7429844e9c062fee960cf6ca60e8f0ac385670f26c85d21,2022-11-28,2022Q4,Metagov,domo.eth,DAO Tooling,5000.0,USDC,5000.0
0x5cf089b7912c0317bccabb7c4c0bda1c2ce9427f7f2a05bfe57ecee192601952,2022-11-29,2022Q4,Ecosystem,gregskril.eth,Builders,19994.6124,USDC,19994.6124
