proposal_id,onchain_id,title,status,proposer_address,proposer_name,proposer_ens,governor_id,governor_name,for_votes,for_voters,for_pct,against_votes,against_voters,against_pct,abstain_votes,abstain_voters,abstain_pct,quorum,start_time,end_time,created_block,created_time,discourse_url,snapshot_url,description
2790714538897442592,69304512515872868228453463730257567312488838925636819022683533220991373699419,[EP 6.34] Register on.eth to the ENS DAO wallet and set the resolver,queued,0xAC50cE326de14dDF9b7e9611Cd2F33a1Af8aC039,clowes.eth,clowes.eth,eip155:1:0x323A76393544d5ecca80cd6ef2A560C6a395b7E3,uni,1436342.8222,278,99.31744296974846,0.0211,1,1.4621853257282664e-06,9871.2146,1,0.6825555680662118,1000000.0000,2026-02-12T14:50:23Z,2026-02-19T00:10:59Z,24441402,2026-02-12T14:50:11Z,https://discuss.ens.domains/t/executable-register-on-eth-to-the-ens-dao-wallet-and-set-the-resolver/21894,,"# [EP 6.34] Register on.eth to the ENS DAO wallet and set the resolver
# Previous Context

* [\[Temp Check\] Registration of on.eth to support interoperable addressing standards](https://discuss.ens.domains/t/temp-check-registration-of-on-eth-to-support-interoperable-addressing-standards/21541)
* [\[Temp Check\] l2.eth to Enable Chain-Specific Addresses](https://discuss.ens.domains/t/temp-check-l2-eth-to-enable-chain-specific-addresses/20862)
* [Allowing the DAO to manually issue .eth 2LDs, including 1- and 2- character ones](https://discuss.ens.domains/t/allowing-the-dao-to-manually-issue-eth-2lds-including-1-and-2-character-ones/20851)

# Description

This proposal registers the \`on.eth\` ENS name to the ENS DAO wallet (`0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7`) and sets the resolver to an on-chain registry-resolver contract (`0x2a9B5787207863cf2d63d20172ed1F7bB2c9487A`).

# Motivation

The Chain Registry-Resolver is a smart contract that acts as a **canonical, on-chain registry*"
2790047678174594448,7432320732701654700329828389963546575346476886035742386260284098817526767149,Enable Root and Registrar Security Controllers,queued,0xb8c2C29ee19D8307cb7255e1Cd9CbDE883A267d5,nick.eth,nick.eth,eip155:1:0x323A76393544d5ecca80cd6ef2A560C6a395b7E3,uni,1512963.6834,227,99.999996551157,0.0522,6,3.44884300005503e-06,0.0000,0,0,1000000.0000,2026-02-11T15:19:23Z,2026-02-18T00:41:11Z,24434380,2026-02-11T15:19:11Z,https://discuss.ens.domains/t/executable-enable-root-and-registrar-security-controllers/21872,,"# Enable Root and Registrar Security Controllers
## Abstract

This proposal enables two break-glass security controllers:

* `RootSecurityController`, which can disable a TLD by taking ownership and clearing its resolver.
* `RegistrarSecurityController`, which can disable a .eth registrar controller.

## Motivation

At present, remediating a compromise or security vulnerability in critical parts of the ENS contracts requires a DAO vote, which takes a minimum of 9 days. This provides a significant window during which an attacker could take advantage of a vulnerability with no way to stop it. This proposal introduces two security controllers, which permit the security council to disable ENS functionality in an emergency, without granting them broad powers over the ENS system.

Enabling the `RootSecurityController` allows rapid deactivation of a compromised TLD by transferring its ownership to the controller and clearing its resolver. Enabling the `RegistrarSecurityController` allows the "
2787172295146210684,107313977323541760723614084561841045035159333942448750767795024713131429640046,[EP 6.32] [Executable] Transfer $2.5M USDC from Endowment to wallet.ensdao.eth ,executed,0x1D5460F896521aD685Ea4c3F2c679Ec0b6806359,coltron.eth,coltron.eth,eip155:1:0x323A76393544d5ecca80cd6ef2A560C6a395b7E3,uni,1553709.4561,199,99.99999608250549,0.0486,1,3.1258407349414788e-06,0.0123,2,7.916537721866271e-07,1000000.0000,2026-02-07T13:35:47Z,2026-02-13T23:19:11Z,24405279,2026-02-07T13:35:35Z,https://discuss.ens.domains/t/ep-6-32-executable-transfer-2-5m-usdc-from-endowment-to-wallet-ensdao-eth/21882,,"# [EP 6.32] [Executable] Transfer $2.5M USDC from Endowment to wallet.ensdao.eth 
# Abstract

Following the approval of the [\[Executable\] Collective Working Group Funding Request (Oct 2025)](https://www.tally.xyz/gov/ens/proposal/77525093718307720477107269225240955392442633055266271196124066559357053541713), the transactions included in that proposal cannot fully execute due to insufficient USDC in the ENS DAO timelock (`wallet.ensdao.eth`).

This proposal enables a **one-time internal transfer of 2.5M USDC** from the ENS Endowment to the ENS DAO timelock (`wallet.ensdao.eth`) to ensure execution of already approved governance decisions. It is an operational treasury action designed to maintain execution continuity without requiring ETH sales under current market conditions.

# Motivation

The Working Group funding proposal was submitted on January 22, 2026, and its execution tests were performed against the block in which it was created (block 24293146). At that time, sufficient USD"
2779038904580310743,55749099144243971799440687308450608384225109120486751685653209891316805274409,# [EP 6.28] ENS Retro: Executable Proposal,executed,0x5BFCB4BE4d7B43437d5A0c57E908c048a4418390,Fire Eyes DAO,fireeyesdao.eth,eip155:1:0x323A76393544d5ecca80cd6ef2A560C6a395b7E3,uni,1278870.0261,101,69.04751515748033,573289.3332,12,30.95248392666559,0.0170,2,9.158540730803961e-07,1000000.0000,2026-01-27T08:10:59Z,2026-02-02T17:36:11Z,24324887,2026-01-27T08:10:47Z,,,"# [EP 6.28] ENS Retro: Executable Proposal
*Proposal Text copied (with minor edits) from Eugene Leventhal's post on the forum* [*here*](https://discuss.ens.domains/t/executable-ens-stakeholder-analysis-and-retro/21792)

## Summary

Following on the initial post introducing the [ENS Stakeholder Analysis and Retro](https://discuss.ens.domains/t/temp-check-ens-retro-an-ens-dao-retrospective-stakeholder-analysis/21648), this post is meant to provide an update and put forth an onchain proposal. Since the first post, a snapshot vote was passed expressing interest in seeing a full proposal. After that, Eugene posted a more [thorough proposal](https://discuss.ens.domains/t/temp-check-ens-retro-an-ens-dao-retrospective-stakeholder-analysis/21648/58), reposted here.

**The ultimate goal of this work is to review where the DAO has been, clearly outline the goals for where you want to head, and provide clear accountability standards going forward.**



## Motivation

ENS DAO is a bit of a rarity i"
2748560757745518030,32193910699583510191805100765941306153785098144960716714178124679398515702376,[EP 6.27] [Executable] Endowment permissions to karpatkey - Update #7,executed,0x1D5460F896521aD685Ea4c3F2c679Ec0b6806359,coltron.eth,coltron.eth,eip155:1:0x323A76393544d5ecca80cd6ef2A560C6a395b7E3,uni,1269608.3700,459,88.76938415130748,5.7105,18,0.000399269755466222,160618.1805,5,11.230216578937057,1000000.0000,2025-12-16T07:00:47Z,2025-12-22T16:30:47Z,24023538,2025-12-16T07:00:35Z,https://discuss.ens.domains/t/ep-6-28-executable-endowment-permissions-to-karpatkey-update-7/21641,,"# [EP 6.27] [Executable] Endowment permissions to karpatkey - Update #7
## Abstract

This proposal introduces a routine update to the permissions for the Endowment Manager. These updates continue to evolve diversification to lending markets. This update also removes a permission no longer needed.

## Motivation

The permissions in this update focus on in increasing the availability of lending markets, specifically Morpho Vaults curated by kpk and others on Fluid Protocol.

## Specification

This proposal adds and removes the following contracts and functions:

### ✅ Additions

#### 1. Tokens&#xA;

| Token | Functions Allowed | Token Address (Mainnet)                    |
| ----- | ----------------- | ------------------------------------------ |
| GHO   | `approve`         | 0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f |

#### 2. Morpho Lending Markets

| Market                                                                                                           | Functions Allowed   "
2746027444409468820,14510804444537789574755459676993085422296887570909724875059792580501615462793,Assign Ownership of the .kred TLD to Verified Multisig Controller,executed,0x76A6D08b82034b397E7e09dAe4377C18F132BbB8,netto.eth,alextnetto.eth,eip155:1:0x323A76393544d5ecca80cd6ef2A560C6a395b7E3,uni,1330760.2666,269,99.999804404451,0.0163,1,1.2284091096946702e-06,2.5866,4,0.00019436713989844662,1000000.0000,2026-01-13T10:40:47Z,2026-01-19T20:01:35Z,24225260,2026-01-13T10:40:35Z,https://discuss.ens.domains/t/draft-executable-assign-ownership-of-the-kred-tld-to-verified-multisig-controller/21720,,"# Assign Ownership of the .kred TLD to Verified Multisig Controller
# Assign Ownership of the `.kred` TLD to Verified Multisig Controller

## **Abstract**

This Executable Proposal requests that the ENS DAO assign ownership of the `.kred` top-level domain (TLD) to the multisig wallet:

**0xb9ef2c160D908A4F7a9DFcdba46662C4a7EC4FD9**

The proposing entity already owns and operates the ICANN `.kred` TLD and has demonstrated authoritative control of the DNS registry by publishing the ENS verification TXT record:

`_ens.nic.kred TXT ""a=0xb9ef2c160D908A4F7a9DFcdba46662C4a7EC4FD9""`

This satisfies the ENS DNS-based proof-of-ownership mechanism and confirms legitimate authority over `.kred`.

***

## **Motivation**

The `.kred` top-level domain is an active ICANN TLD. Establishing `.kred` within ENS via DNS-verified ownership expands ENS’s integration with traditional DNS namespaces and supports unified Web2 + Web3 identity infrastructure.

Benefits include:

* Cryptographic linkage between IC"
2729564643990177078,77525093718307720477107269225240955392442633055266271196124066559357053541713,[Executable] Collective Working Group Funding Request (Oct 2025),executed,0xc02771315d0958F23a64140160E78ECB9bB8614e,daostrat.eth,daostrat.eth,eip155:1:0x323A76393544d5ecca80cd6ef2A560C6a395b7E3,uni,1355362.0016,146,99.99999764381378,0.0129,1,9.496412780724153e-07,0.0191,2,1.4065449397806985e-06,1000000.0000,2026-01-22T21:55:23Z,2026-01-29T07:18:23Z,24293146,2026-01-22T21:55:11Z,,,"# [Executable] Collective Working Group Funding Request (Oct 2025)
# \[Executable] Collective Working Group Funding Proposal (Oct 2025)

## Abstract

This proposal executes all three Working Group funding requests for the October 2025 funding window, as approved in social proposals [**EP 6.24.1**](https://snapshot.box/#/s:ens.eth/proposal/0xc689edd77def6b9f6be6ca7fa1729e597c85ee12ae96e134d995a8b9fd78a21f), [**EP 6.24.2**](https://snapshot.box/#/s:ens.eth/proposal/0x9b3f5463e52aadc35155e686f8416297b24e6c7e30cb527747e61cf17b42a5f6), and [**EP 6.24.3**](https://snapshot.box/#/s:ens.eth/proposal/0x7b603c5ada65cfcdbdfec9a33352edf731615fe96fbcc09daa7aa97b327e15ce). Each was ratified via Snapshot and follows the ENS DAO’s standard funding process. This executable aggregates the transfers into a single transaction set.

## Proposal Components

| Working Group   | Destination (Multisig)                                                                                    | Amount                  "
2708179808130434396,12950686153984121876325788121804936905339482144562527684056466889156345680789,[EP 6.23] [Executable] Endowment permissions to karpatkey - Update #6,executed,0x352BAc8c804925Af197F76c4D8D074e4fe5c2edC,,,eip155:1:0x323A76393544d5ecca80cd6ef2A560C6a395b7E3,uni,1229860.5943,94,88.4613713941389,1.0509,3,7.559154836370422e-05,160418.1740,4,11.538553014312745,1000000.0000,2025-10-21T18:38:11Z,2025-10-28T04:36:35Z,23627765,2025-10-21T18:37:59Z,https://discuss.ens.domains/t/executable-endowment-permissions-to-karpatkey-update-6/21396,,"# [EP 6.23] [Executable] Endowment permissions to karpatkey - Update #6
# Abstract

This proposal introduces updated permissions for the Endowment, with a continued focus on diversification and alignment with the evolving market landscape and liquidity.

# Motivation

The proposed new permissions focus on strategies involving:

* Airdrop claim: Claim the SPK airdrop and add permissions to swap the SPK token
* Additional permissions on already permitted platforms for generating yield on Endowment assets, including:
  * Balancer v3 pools: since the protocol upgrade in December 2024, liquidity and incentives have been migrating from v2 to v3 pools
  * Curve ETH stable-pair pools
* New platform for generating yield on permitted assets: Morpho
  * Morpho has now established itself as one of the leading lending platforms in DeFi and presents various attractive yield opportunities that can complement and diversify the current strategies for both ETH and stablecoins. With its minimal and immut"
2705526220803540540,89533866253315759669817396047764505253840458037760720608881002428435364696940,[EP 6.22] [Executable] ENS Contract Naming Season,executed,0x5BFCB4BE4d7B43437d5A0c57E908c048a4418390,Fire Eyes DAO,fireeyesdao.eth,eip155:1:0x323A76393544d5ecca80cd6ef2A560C6a395b7E3,uni,1449667.6844,101,99.26769396805115,5198.0175,11,0.35594033963190996,5496.3016,4,0.37636569231694894,1000000.0000,2025-10-21T18:30:23Z,2025-10-28T04:28:47Z,23627726,2025-10-21T18:30:11Z,https://discuss.ens.domains/t/temp-check-ens-contract-naming-season/21402,,"# [EP 6.22] [Executable] ENS Contract Naming Season
*After positive discussion, feedback and support on the forum, we now move this proposal to a vote.*

**Execution:**

* **Send 75,000 USDC to Contract Naming Pod Multisig**
* **Send 10,000 ENS to Contract Naming Pod Multisig**

## Outline

**This proposal aims to launch ENS Contract Naming Season: a time-boxed program focused on the creation and empowerment of an ENS protocol integration leaderboard with the goal of driving adoption of ENS at a smart contract, protocol and DAO level.**

This proposal also outlines a **‘Temporary Contract Naming Pod’** with the explicit mandate to drive the communication, adoption and onboarding of different protocols and projects to the program over the next ~6 months. This pod will be primarily led by ENScribe with support from FireEyes and any other humans interested.

A budget for this temporary pod is also proposed, to be used for **two purposes;** USDC to be used by the pod to pay contributors (p"
2697430371380757582,108835189906614532703236602621229289879643217303874617456878894788222576090451,[Executable] Set Primary Names for Core DAO Addresses,executed,0xA7860E99e3ce0752D1ac53b974E309fFf80277C6,limes.eth,limes.eth,eip155:1:0x323A76393544d5ecca80cd6ef2A560C6a395b7E3,uni,1321739.9917,82,100,0.0000,0,0,0.0000,1,0,1000000.0000,2025-10-06T17:56:47Z,2025-10-13T03:39:59Z,23520356,2025-10-06T17:56:35Z,https://discuss.ens.domains/t/temp-check-set-primary-names-for-core-dao-addresses/21432?u=limes,,"# [Executable] Set Primary Names for Core DAO Addresses
## Abstract

Several ENS DAO contracts lack primary names. This proposal establishes reverse records for core DAO addresses.

## Motivation

By setting reverse records for core DAO addresses:

* ENS DAO demonstrates best practices by using its own protocol fully, serving as an example for other DAOs
* ENS DAO contracts become easier to identify and navigate
* Names will resolve on sites that list the contracts like [enswallets.xyz](https://www.enswallets.xyz/)

## Details

Executing this proposal will set primary names for

1. The [ENS DAO wallet](https://etherscan.io/address/0xFe89cc7aBB2C4183683ab71653C4cdc9B02D44b7)
2. The [ENS token](https://etherscan.io/address/0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72)
3. The [ENS Endowment wallet](https://etherscan.io/address/0x4F2083f5fBede34C2714aFfb3105539775f7FE64)

## Specification

Call `setName(""wallet.ensdao.eth"")` on the Reverse Registrar (reverse.ens.eth) to set the reverse recor"
